Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
6,9.849,906767,44872,1977,50,1000,0.100,0.050,1.000,1.029,50
7,13.506,1240053,61532,2829,60,1000,0.100,0.050,1.000,1.034,60
8,13.083,1201640,59607,2822,70,1000,0.100,0.050,1.000,1.037,70
9,11.665,1072248,53146,2243,80,1000,0.100,0.050,1.000,1.037,80
10,16.087,1475121,73289,3162,90,1000,0.100,0.050,1.000,1.050,90
1,4.565,430721,21082,979,0,1000,0.100,0.050,1.000,1.021,0
2,6.549,614497,30246,1430,10,1000,0.100,0.050,1.000,1.023,10
3,7.398,692905,34167,1532,20,1000,0.100,0.050,1.000,1.024,20
4,7.326,686070,33836,1568,30,1000,0.100,0.050,1.000,1.023,30
5,7.676,718461,35448,1557,40,1000,0.100,0.050,1.000,1.021,40
6,9.100,850063,42028,1888,50,1000,0.100,0.050,1.000,1.030,50
7,12.341,1149618,56993,2606,60,1000,0.100,0.050,1.000,1.035,60
8,13.533,1259325,62499,2867,70,1000,0.100,0.050,1.000,1.032,70
9,15.401,1432329,71128,3175,80,1000,0.100,0.050,1.000,1.042,80
10,16.111,1497458,74405,3363,90,1000,0.100,0.050,1.000,1.046,90
1,4.279,369573,18017,848,0,1000,0.100,0.050,1.000,1.018,0
2,5.942,509819,25021,1111,10,1000,0.100,0.050,1.000,1.019,10
3,7.886,673556,33205,1476,20,1000,0.100,0.050,1.000,1.025,20
4,10.551,897983,44427,2084,30,1000,0.100,0.050,1.000,1.025,30
5,11.241,955708,47332,2197,40,1000,0.100,0.050,1.000,1.028,40
6,10.437,888297,43949,1923,50,1000,0.100,0.050,1.000,1.024,50
7,13.624,1156898,57365,2614,60,1000,0.100,0.050,1.000,1.040,60
8,10.085,858492,42464,1777,70,1000,0.100,0.050,1.000,1.027,70
9,12.886,1094860,54258,2449,80,1000,0.100,0.050,1.000,1.038,80
10,13.070,1110207,55034,2407,90,1000,0.100,0.050,1.000,1.030,90
1,3.907,357740,17421,852,0,1000,0.100,0.050,1.000,1.020,0
2,5.424,493246,24187,1132,10,1000,0.100,0.050,1.000,1.020,10
3,7.213,652501,32161,1493,20,1000,0.100,0.050,1.000,1.020,20
4,6.135,556409,27356,1228,30,1000,0.100,0.050,1.000,1.029,30
5,9.638,869088,42978,1937,40,1000,0.100,0.050,1.000,1.037,40
6,10.643,958756,47459,2219,50,1000,0.100,0.050,1.000,1.028,50
7,11.502,1035316,51288,2364,60,1000,0.100,0.050,1.000,1.041,60
8,15.491,1390897,69076,3098,70,1000,0.100,0.050,1.000,1.039,70
9,13.446,1208846,59957,2708,80,1000,0.100,0.050,1.000,1.031,80
10,16.600,1489769,74019,3303,90,1000,0.100,0.050,1.000,1.038,90
1,3.505,350457,17058,851,0,1000,0.100,0.050,1.000,1.018,0
2,5.749,569141,27982,1355,10,1000,0.100,0.050,1.000,1.025,10
3,6.819,673235,33190,1563,20,1000,0.100,0.050,1.000,1.020,20
4,7.299,720077,35526,1625,30,1000,0.100,0.050,1.000,1.026,30
5,9.175,902488,44656,1989,40,1000,0.100,0.050,1.000,1.025,40
6,11.687,1146959,56884,2660,50,1000,0.100,0.050,1.000,1.032,50
7,12.121,1189569,58997,2922,60,1000,0.100,0.050,1.000,1.038,60
8,12.868,1262363,62632,2921,70,1000,0.100,0.050,1.000,1.049,70
9,17.172,1681137,83580,3843,80,1000,0.100,0.050,1.000,1.042,80
10,13.606,1333870,66227,3032,90,1000,0.100,0.050,1.000,1.034,90
1,4.560,403606,19708,885,0,1000,0.100,0.050,1.000,1.015,0
2,6.126,539169,26475,1153,10,1000,0.100,0.050,1.000,1.021,10
3,4.687,414501,20256,885,20,1000,0.100,0.050,1.000,1.016,20
4,8.293,726123,35839,1707,30,1000,0.100,0.050,1.000,1.027,30
5,10.457,913224,45189,2096,40,1000,0.100,0.050,1.000,1.019,40
6,10.620,927744,45895,2029,50,1000,0.100,0.050,1.000,1.027,50
7,12.536,1093084,54172,2501,60,1000,0.100,0.050,1.000,1.037,60
8,12.601,1098422,54454,2333,70,1000,0.100,0.050,1.000,1.029,70
9,15.354,1336525,66350,3002,80,1000,0.100,0.050,1.000,1.044,80
10,14.765,1285665,63808,2699,90,1000,0.100,0.050,1.000,1.034,90
1,4.813,416681,20350,949,0,1000,0.100,0.050,1.000,1.018,0
2,4.475,387747,18921,812,10,1000,0.100,0.050,1.000,1.018,10
3,5.500,474871,23257,993,20,1000,0.100,0.050,1.000,1.016,20
4,9.552,817211,40388,1784,30,1000,0.100,0.050,1.000,1.025,30
5,10.079,862095,42617,1930,40,1000,0.100,0.050,1.000,1.028,40
6,8.031,688284,33957,1443,50,1000,0.100,0.050,1.000,1.021,50
7,10.353,884829,43774,1898,60,1000,0.100,0.050,1.000,1.033,60
8,17.354,1477259,73377,3314,70,1000,0.100,0.050,1.000,1.039,70
9,14.174,1208141,59930,2567,80,1000,0.100,0.050,1.000,1.037,80
10,15.670,1334802,66258,2982,90,1000,0.100,0.050,1.000,1.030,90
1,4.764,441811,21603,1025,0,1000,0.100,0.050,1.000,1.020,0
2,5.906,544995,26783,1223,10,1000,0.100,0.050,1.000,1.020,10
3,5.137,475554,23295,1030,20,1000,0.100,0.050,1.000,1.024,20
4,7.618,700383,34546,1544,30,1000,0.100,0.050,1.000,1.023,30
5,8.511,781062,38595,1695,40,1000,0.100,0.050,1.000,1.031,40
6,10.519,963462,47702,2147,50,1000,0.100,0.050,1.000,1.028,50
7,12.760,1166825,57867,2567,60,1000,0.100,0.050,1.000,1.026,60
8,15.503,1415673,70303,3172,70,1000,0.100,0.050,1.000,1.034,70
9,11.911,1090150,54015,2386,80,1000,0.100,0.050,1.000,1.036,80
10,17.372,1585017,78779,3408,90,1000,0.100,0.050,1.000,1.036,90
