Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier
7,10.480,468845,22954,1041,6,1000,0.100,0.050,1.000,1.025,6
8,8.991,403294,19693,923,7,1000,0.100,0.050,1.000,1.016,7
9,11.364,507504,24890,1177,8,1000,0.100,0.050,1.000,1.017,8
10,10.841,484138,23744,1139,9,1000,0.100,0.050,1.000,1.019,9
1,8.356,375860,18319,844,0,1000,0.100,0.050,1.000,1.018,0
2,9.553,428616,20942,928,1,1000,0.100,0.050,1.000,1.024,1
3,8.807,395525,19308,893,2,1000,0.100,0.050,1.000,1.019,2
4,12.155,542659,26646,1159,3,1000,0.100,0.050,1.000,1.016,3
5,9.278,416398,20340,956,4,1000,0.100,0.050,1.000,1.016,4
6,12.516,558069,27437,1218,5,1000,0.100,0.050,1.000,1.024,5
7,10.963,490292,24034,1152,6,1000,0.100,0.050,1.000,1.019,6
8,8.567,385370,18782,883,7,1000,0.100,0.050,1.000,1.020,7
9,8.836,396803,19371,902,8,1000,0.100,0.050,1.000,1.018,8
10,10.968,490707,24045,1050,9,1000,0.100,0.050,1.000,1.018,9
1,11.764,588127,28928,1375,0,1000,0.100,0.050,1.000,1.024,0
2,7.041,355411,17315,754,1,1000,0.100,0.050,1.000,1.015,1
3,9.926,497948,24408,1096,2,1000,0.100,0.050,1.000,1.023,2
4,9.980,499888,24541,1169,3,1000,0.100,0.050,1.000,1.020,3
5,9.806,491767,24113,1169,4,1000,0.100,0.050,1.000,1.020,4
6,9.998,501112,24587,1145,5,1000,0.100,0.050,1.000,1.015,5
7,9.273,465313,22804,1108,6,1000,0.100,0.050,1.000,1.021,6
8,9.847,493966,24215,1022,7,1000,0.100,0.050,1.000,1.021,7
9,10.580,529954,26016,1267,8,1000,0.100,0.050,1.000,1.019,8
10,11.785,588919,28980,1373,9,1000,0.100,0.050,1.000,1.020,9
1,9.798,492669,24163,1186,0,1000,0.100,0.050,1.000,1.025,0
2,11.565,579883,28521,1392,1,1000,0.100,0.050,1.000,1.022,1
3,7.810,394697,19259,875,2,1000,0.100,0.050,1.000,1.017,2
4,9.330,469717,23009,968,3,1000,0.100,0.050,1.000,1.017,3
5,10.635,534306,26226,1222,4,1000,0.100,0.050,1.000,1.018,4
6,14.589,728974,35977,1758,5,1000,0.100,0.050,1.000,1.030,5
